contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FE250516C00030000,2025-04-17 15:59:11+00:00,30.0,11.97,11.7,14.0,0.0,0.0,10.0,10,1.119145029296875,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00035000,2025-04-09 19:52:34+00:00,35.0,4.96,7.0,8.2,0.0,0.0,2.0,5,0.6064492480468751,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00036000,2025-04-10 17:02:08+00:00,36.0,4.4,6.1,6.9,0.0,0.0,1.0,31,0.6679720703125002,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00037000,2025-04-09 14:57:53+00:00,37.0,2.1,5.1,6.3,0.0,0.0,2.0,12,0.5141650146484374,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00038000,2025-04-17 17:52:27+00:00,38.0,4.5,4.2,4.7,0.0,0.0,1.0,23,0.442388388671875,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00039000,2025-04-22 17:37:41+00:00,39.0,3.62,3.2,3.6,0.0,0.0,1.0,31,0.33447931152343746,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00040000,2025-04-23 16:16:49+00:00,40.0,2.52,2.45,2.6,-0.3800001,-13.103452,11.0,670,0.26416751464843746,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00041000,2025-04-23 14:18:50+00:00,41.0,2.15,1.6,1.85,0.1500001,7.500005,4.0,1478,0.2573316455078125,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00042000,2025-04-23 16:30:35+00:00,42.0,1.1,1.05,1.15,-0.27999997,-20.289852,67.0,818,0.233406103515625,True,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00043000,2025-04-23 16:20:13+00:00,43.0,0.53,0.5,0.8,-0.17000002,-24.285717,9.0,184,0.25830819824218754,False,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00044000,2025-04-23 16:02:33+00:00,44.0,0.34,0.2,0.45,-0.109999985,-24.44444,34.0,119,0.25049577636718745,False,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516C00045000,2025-04-23 13:42:02+00:00,45.0,0.2,0.1,0.15,0.0,0.0,21.0,24,0.21289849609375,False,REGULAR,USD,FE,1,2025-05-16,2025-04-23 13:03:16.473369,42.275001525878906
FE250516P00033000,2025-04-09 14:03:37+00:00,33.0,0.59,0.0,0.5,0.0,0.0,,63,0.6953155468750001,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00034000,2025-04-23 16:17:10+00:00,34.0,0.05,0.05,0.2,-0.009999998,-16.666662,5.0,31,0.5351608984375,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00035000,2025-04-10 15:48:32+00:00,35.0,0.5,0.0,0.7,0.0,0.0,16.0,34,0.6191444335937502,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00036000,2025-04-15 17:46:37+00:00,36.0,0.22,0.05,0.2,0.0,0.0,1.0,35,0.47070841796875,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00037000,2025-04-14 16:18:06+00:00,37.0,0.35,0.1,0.2,0.0,0.0,5.0,115,0.40820904296875,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00038000,2025-04-23 16:17:12+00:00,38.0,0.25,0.1,0.3,-0.110000014,-30.55556,32.0,221,0.39258419921875,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00039000,2025-04-23 14:58:58+00:00,39.0,0.25,0.2,0.4,0.0,0.0,1013.0,276,0.3618227880859375,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00040000,2025-04-23 15:24:49+00:00,40.0,0.55,0.4,0.55,0.20000002,57.142864,1.0,172,0.33399103515625,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00041000,2025-04-23 16:12:14+00:00,41.0,0.7,0.65,0.85,-0.33999997,-32.692307,2.0,90,0.3276434423828125,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00042000,2025-04-23 13:35:01+00:00,42.0,1.15,1.1,1.2,0.34999996,43.749996,206.0,44,0.309577216796875,False,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250516P00043000,2025-04-23 16:02:06+00:00,43.0,1.55,1.6,1.75,-0.9000001,-36.734695,1.0,44,0.3110420458984374,True,REGULAR,USD,FE,0,2025-05-16,2025-04-23 13:03:16.475710,42.275001525878906
FE250620C00020000,2025-01-07 20:40:22+00:00,20.0,19.3,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
FE250620C00025000,2025-02-28 15:05:23+00:00,25.0,13.38,15.6,17.7,0.0,0.0,1.0,1,0.9238288867187501,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
FE250620C00028000,2024-12-16 05:08:04+00:00,28.0,16.5,14.6,16.9,0.0,0.0,,1,1.1157270776367185,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
FE250620C00030000,2024-12-02 18:41:44+00:00,30.0,12.3,10.7,10.9,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
FE250620C00033000,2025-01-06 18:34:11+00:00,33.0,6.75,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
FE250620C00035000,2025-04-17 17:12:22+00:00,35.0,7.35,6.5,7.5,0.0,0.0,1.0,104,0.34961587890624996,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
FE250620C00037000,2025-04-15 19:02:35+00:00,37.0,4.7,5.1,5.7,0.0,0.0,1.0,129,0.3276434423828125,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
FE250620C00040000,2025-04-22 16:39:36+00:00,40.0,3.18,2.75,3.0,0.0,0.0,16.0,3770,0.24463645996093752,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
FE250620C00041000,2025-04-22 14:42:50+00:00,41.0,2.35,2.0,2.3,0.0,0.0,150.0,150,0.2368240380859375,True,REGULAR,USD,FE,1,2025-06-20,2025-04-23 13:03:16.536772,42.275001525878906
